maliciousness	wrongdoing	malice	foul play	wrongfulness	offence	foulness	unfaithfulness	voluptuousness	evilness	iniquity	harmedness	insinuation	possessiveness	unintentional harm	prevarication	calamity	unintentionality	premeditation	attempt
shopping	expenditure	retail trade	commerce	industriousness	buying	consumer durable goods	e-commerce	retail therapy	industrious activity	industrious enterprise	industrious person	spending money	edifice	industrious activities	industrious process	spending money and doing nothing	practical manual and manual of skill	practical manual and manual of trade	practical manual and manual labour
animal	microorganism	insect	taxon	organism	macroorganism	molecular biology	plant	vertebrate	micro-organism	monoid	molecular organism	molecular entity	protozoal organism	homopterous animal	diatom	microscopic animal	molecular class	homopterous insect	microscopic organism
catchment	local government area	geographical area	area of land	function	hydrological system	geographic area	geographic point	body of water	distribution system	distributional system	area of concern	zoning area	hydrological zone	hydrology area	catchment area	geographic location	ecological catchment	defined area	inundated area
person	moderator	leader	politician	manager	speaker	evaluator	mediator	negotiator	political leader	chief	social moderator	interlocuteur	adviser	interlocutor	astrophysicist	persuader	public speaker	ascensor	interlocutarius
fat	oil	cooking oil	concoction	vegetable oil	ghee	grease	dishwashing liquid	dishwashing powder	frying oil	concoct	hepatic acid	kitchen chemical process	condensed milk	culinary preparation	kitchen herb	kitchen condiment	food product	heat transfer fluid	good health food
person	detective	physicist	writer	fictitious character	explorer	fictional character	sleuth	fictitious person	work of art	satirist	investigator	detectives	detective agency	savant	solver	expert	sleuth of the flesh	Sherlockian/horseshoe specialist	biographical character
work of art	book	piece of work	film genre	visual art	written language	novel	moving picture	musical work	lexical category	written communication	literary work	work	album	periodical publication	social science and literature	public radio station	social science-fiction	visual arts	musical organization
tower	edifice	constructed structure	structure	contiguous area	thespian	construction site	convex shape	building	cityscape	high-rise	physical system	built structure	physical phenomenon	towering block	city block	built environment	elevated platform	built form	towering over the city
person	writer	literary composition	wrestler	literary person	poet	political leader	jurisconsult	philosopher	opponent	painter	scholarly person	essayist	pedagogist	biographical person	biographical character	pedagogoist	literary work	satirist	biographical work
measurement	measure	length	dimensionless quantity	dimension	diameter	size	measuring unit	measured dimension	measured quantity	perpendicularity	homologism	physical property	physical quantity	metric unit	homogenetic unit	homologising	perpendicular	perpendicular shape	dimensional unit
person	sportsperson	thespian	jock	actor	soccer referee	proletarianist	person of interest	raconteur	writer	golf ball player	raconactist	raconacter	baseball player	musical group	theodore	professional sportsperson	sports person	jocks	proletarian and political leader
adventure	physical phenomenon	movement	function	journey	picture	moving picture	work of art	phenomenon	motion	pc game	advancement	advoganism	advge	advogarism	adversity	adv?nement	playwrighting and play	fable	playwrighting
tv-series	tv series	work of art	video game genre	television show	game console	system software	software program	computer software	show	tv program	video game company	videogaming	film genre	video games	video game series	computer programme	picture	medium	picture show
person	writer	director	leader	animator	social control	social worker	scriptwriter	lexical category	professional director	bureaucrat	scholarly person	technical specification	bureaucratic title	social control system	musical composition	scholarly work	scholarly method	bureaucrats	bureaucratic position
record label	company	label	electronic record label	brand name	eponymous album	discographies	discography	book publishing house	publishing house	trademark	brand	corporation	partnership	venture	enterprise	ecclesiastical hierarchy	ecclesiastical organization	musical group	eponymous record company
clothing	suit	clothes	costume	outfit	garment	fashion garment	bodysuit	giletto	pantsuit	slacks	overgarment	bodily structure	uniform	worn-out garment	worn-out apparel	worn-on uniform	worn clothes	worn-out clothes	pants
concern	enterprise	company	firm	business concern	business organization	business firm	corporation	organization	business enterprise	entrepreneur	commercial enterprise	corp.	corporate structure	concerned	commercial establishment	corporate entity	undertaking	business company	business entity
sailing ship	warship	ship	military unit	military group	aeroplane	means of transportation	naval ship	military organization	military branch	armed force	motorized moving-motor vehicle	motorized moving-moped	watercraft; moving-picture show	motorized moving-vehicle	motorized moving-momentometry	motorized moving-motor system	motorized moving-propulsing vehicle	motorized moving-motor vessel	motorized moving-propulsor
alphabetical order	letter	written language	written communication	grammatical group	alphabet	numerical value	the alphabetic character	vowel	grammatical category	written symbol	lettering system	single-valued function	grammatical unit	single-valued system of identification	letter sequence	letter combination	single character	single-valued system of numbers	alphabetic alphabet
document	literate person	lexical category	edifice	physical system	written language	person	adverb	piece of work	grammatical form	physical property	monetary unit	technical specification (speculative term)	grammatical entity	grammatical relation	technical specification (specification) and specification	fictitious character	grammatical form.	lexicon	technical specification
raft	boat	paddle-board	floating object	chariot	motorized transport	craft	vessel	sailing craft	kinematics	nautilus	inflatable raft	balsa raft	wooden structure	thespian play and musical composition	thespian play and musical work	thespian playwright	motorized float	thespian play and music genre	thespian play
crewmembers	vaissil	spacecraft	celestial body	members of crew	astronomical object	satellite	astronomical satellite	crew members	space ship	vaissal	space station	astronauts	crewmen	crew member	moving picture show	celestial object	celestial probe	manned spacecraft	olympic sports. planet orbiter.
soccer player	footballer	person	goaltender	sportsperson	jock	proclivity	player	athlete	horologist	thespian	soccer ball	soccerman	ball player	ballplayer	football player	afro-american footballer	afro-american soccer star	physicist	football team
working title	persuasion	enactment	work of art	order of conduct	olympiad	duty	obligation	military assignment	ad hoc assignment	order of military service	ad hoc duty	law-of-attraction	olymphatic movement	olympic sports	workman-equivalent	persuasion & coercion	workman's comp	workman-appropriateness	persuasion & motivation
coding system	data-storage medium	code	technical specification	computer code	computer programming language	computer program	computer programme	software program	application programming language (applicable science)	computer software	application software	software	video game	graphic processing unit (graphics chip)	graphic processing unit (graphics)	storage medium	computer-readable medium	computer-aided development	software development
person	hegemon	deity	fictional character	godhood	sportsperson	olympic sport	meaningless person	aristocrat	king	poetess	poet	astronomical object	writer	artist	actor	astronomer	godhead	god	moniker
work of art	information retrieval system	web site	edifice	dictionary	textfile	communication medium	encyclopedia	piece of work	lexical unit	lexicology	lexical category	knowledgebase	library science: grammatical category	e-book	linguistics	non-fiction work of art	non-fiction work	non-fiction work of fiction	non-verbal communication medium
celestial body	planet	world planet	astronomical object	celestial object	solar system	rocky planet	non-planet	extinct star	observable	celestine	planetary system	object	earth planet	gas giant	heavenly object	non-magnetic planet	non-magnetic world	astrophysical object	non-magnetic terrestrial planet
person	jurisconsult	tennis player	conductor	leader	political leader	footballer	writer	politician	evaluator	professed teacher	teacher	professed person	jock	lexical category	lexical classificant	lexical classifier	lexical classifying system	lexical component	lexical modifier
list	written document	lexical category	lexicology	written language	listmaking	lexical element	lexical class	lexical unit	piece of work	lexicon	technical specification	textfile	book	indicant	indicted terms	mathematical relation	indicted expression	article of text	piece of text
fashion	tailoring	garment	clothing	visual arts	practical application	style	fashion design	couturier	sartorial direction	guidage	fine arts	art movement	esthetic	adage	chivalry	social status symbolism	mode fine art	mode of expression	mode fine arts
fault	accusation	blame	blamelessness	blameworthyness	argumentation	blamefulness	inflict	distastefulness	remorse	averment	accusableness	empathy	accusable act	accusable action	error	forsakenness	omission	forsake	theology
person	writer	actor	professional musician	performer	playwrighting	professional cricketer	businessperson	journalist	singer	professional footballer	professional basketball player	footballer	editor	playwright	professional athlete	sportsperson	songwriter	astrophysics	fictitious character
accounting	bookkeeping	accountancy	financial reporting	financial statement	financial management	books	monetary value	record keeping	mathematische art	accounting and bookkeeping	accounting for the purposes of spending	accounting for the money	accounting for the purposes of acquisition	economics	accounting for the purposes of profit	accounting for the time being	accounting and financial management	accounting for the purposes of expenditure	accounting for the purposes of purchase
mathematical notation	measure	unit of time	measurement	mathematical function	mathematical relation	mathematical modeling	mathematical operation	unit of measure	unit of measurement	definite quantity	physics	mathematical tool	mathematical instrument	unit of length	number	mathematical model	mathematical modelling	engineering science: technologist	person
social function	social occasion	race	performance	social interaction	athletics	phlebotomy	competition	event	equus	linguistic unit (e.g.	plymouth dialect	truncheon game	truncheon.	social event	truncheon..	thespian fictitious character	thespian playwrighting	linguistics	truncheon
partial payment	technical specification	allowance	written document	omission	acceptance	exclusion	nonpayment	implied warranty	written agreement	non-compliance	disbursement	exempted activity	exempted class	disclaimer	improper use	misuse	exempted person	exempted area	monetary allowance
time period	time unit	duration	period of time	monetary value	time duration	persuasion	persecutor	monetary unit	time interval	term	contemporaries	persusasion	conjoncture	conjonct	time intervals	thesauri	hourly rate	daytime observance	daytime quotient
building	dwelling house	residence	buildings	built-up	function room	public building	constructed structure	hall	student residence	student housing	indoor facility	social housing	housing	house of assembly	built structure	class of people	residential establishment	house of worship	student residential building
person	leader	political leader	politician	boss	military man	martial artist	footballer	martial arts	sportsperson	personality	chief of military service	writer	chief	law-abiding individual	law-abiding person	martial arts and judo	pharaoh	bodybuilder	lyricist
coverall	granular material	pavers	asphalt	construction materials	construction material	tarmac	path	calcareous material	paving	pavlova	cobblestone	calcareous materials	obturator	paving material	cobble	pavlovia	macadam	sand	surfacing material
warrior	samurai	martial art	person	warrior class	martial artist	horseback rider	swordsman	japanese martial artist	japanese folklore	military branch	samurai warrior	japanese ancestor	tsunami and wild pig	japanese folklore and culture	tsunami and wild dog	japanese warring	japanese military style	japanese martial arts	emperor
fabric	work of art	clothing	garment	patchwork	quilt	textile	cloth	construction material	appliqué	piecework	handkerchief	knitted clothes	stitching	knitted item	machine-made crafts	knitted fabric	construction industry	machine-made garment	machine-made product
work of art	beacon	signaling device	micro-organism	transmitter	signaling system	luminous object	electronic equipment	signaling technology	tethered system	astroturfing device	tethered device	ray of light	tethered unit	affixed label	affixed magnetism	astroturf	os	telecommunication system	tethered cable
plant	plant part	cocoa bean	plant product	bean	plant substance	cocoa product	tetrapod	tadka	cocoa butter bean	cocoa drupe	coir	biopolymer	vegetal organ	concoction	cacao bean	plant parts	food product	vegetal part	tea tree
theophyte	molecular entity	chemical compound	alkaloid	chemical group	quinolone	quinine	quinone	aqueous solution	coenzyme quinine	chemical formula	polymer	natural product	chemical element	molecule	chemical substance	organic chemical	organic matter	chemical entity	salt
city	town	township	locale	local government area	college town	metropolitan area	county courthouse	local government district	college	local government	town and city	urban center	local government and school	local government and university	local government and population	local government and municipality	municipal government	local government borough	local government.
shopping	buying	online shopping	web site	shopping cart	shop	e-commerce	consumer goods	order of magnitude	merchandising	online store	internet site	web page	cartography	electronic commerce	commerce	order of magnitude and price	market research	e-shopping	bazaar
time period	period of time	calendar month	interval	day	month	short period of time	linguistic unit	length of time	short period	sleeve	decadence	contemporaries	horological science	horological term	persuasion	horological period	horological quantity	consecrated space	periodic unit
resonance	sound	natural phenomenon	phenomenon	waveform	sinewave function	work of art	sound wave	resonant phenomenon	resonator	scientific research	coherence	musical notation	electrical energy	synchronicity	acoustic effect	musical work	acoustic frequency	conduction	technical specification.
elimination	removal	destruction	completeness	dissolution	abrogation	suppression	eradication	extinction	disappearance	obliteration	elimintion	complete removal	natural process of elimination	abstinence	natural process	extinguition	theoretical method	exclusion	complete destruction
person	master	benevolent person	lord	courtesan	title	king	crown	head of household	court noble	chief of state	aristocrat	noble	anglo-scandinavian	anglo-iranian title	anglo-scandinavian title	anglo- savvy	head of state	title of respect	court lord
beverage	caffeinated drink	drinkable	aperitif	concoction	brew	symphony	caffeinated beverage	liquid state	alcoholic beverage	decaft daffodil liquid	decaft brewer's yeast	decaft daffodil fuel	cup of joe	decaft daffodil extract	beverages	decaft & drip	draught beer	persuasion	suppositivity
person	musical work	fictitious character	animal	tv program	sportsperson	lexical category	popular music group	musical group	work of art	musical composition	music group	television show	television series	video game console	jock	horse	actor	zoologist	equine
incorporation	legally binding agreement	juridical person	legal proceeding	legal entity	entrustment	change of name	merger	non-corporation	non-conformity	non-incorporation	arithmetic process	arithmetic operation	legalization	legal person	non-competition	non-profit organization	encumbrance	agreement	non-disclosure
saying	social commentary	expression	adage	proverb	social comment	phrase	statement	idiom	sayint	sentimental value	remark	say it or not do it	written language	say it with your mouth	say it as you see it	edict	say it as you mean it	say it with your mouth.	say it with me!
animal	mammal	rodentia	reptile	red deer	carnivore	predator	bovid	wild boar	nonindigenous animals	nonindigenous species	nonindigenous mammal	nonvenomous primate	nonindigenous	nonindigenous animal	animals	reptilian	wild boer	boar	bushbuck
plant	herb	mint	herbaceous plant	mixed-insect	mixed genus	anisum	wild mint	mixed-media content	common garden herb	mixed-genus plants	mixed-genus species	freshwater urchin	mixed-herbium family	fresh spearmint	plantea organescens	freshwater microbial group	mixed herb	plantea naturalis	native plant
energy	chemical process	natural process	physical phenomenon	natural phenomenon	kinetic energy	source of energy	fluid mechanics	chemical reaction	biological process	chemical group	phenomenon	micro-organism	molecular entity	micro-organisms	microorganisms	microorganism	edifice	physical system	eqnol
enlistment	civilian military service	military service	forcible act	conscription	enlisted	labor force participation	civilian military branch	enrolment	incorperation	compulsory action	compulsory act	forcible action	military enlistment	enrollment	recruitment	military machination	civilian military action	civilian military service and armed services	civilian military service and armed service
person	work of art	character	playwright	traveler	name	poetess	lexical category	navigator	literary work	thespian	king of the sea	city	wolf	literary character	writer	musical work	sea animal	piece of music	move
place of worship	city	town	public bathing pool	local government area	locality	locale	site	h2o	port of call	port agudo	port affranchised	parkland	musuem	swimming pool	cul de sacral	port city	place of interest	religious worship	public park
barrier	waterbody	breakwater	manmade structure	body of water	physical barrier	constructed structure	separation process	physical property	channel	water body	water barrier	edifice	protective barrier	construction site	impediment	physical system	mausoleum	separation technique	manmade barrier
industry	business sector	business industry	economic sector	sector of economy	field of science	technical specification	technology	agglomeration	scientific research	industries	scientific researches	engineering science	sector of economic development	sector of activity	branch of science	enterprise	scientific research & development	information processing system; information technology	information technology
person	writer	political leader	playwright	political organization	work of art	leader	actress	film producer	actor	politician	poetess	film maker	producer	film director	ad writer	social worker	afro-american artist	phenomenal character	pragmatist
person	senior	aging	aged person	contemporist	end stage of life	age group	seniority	aged	old age	mature age	body part	time period	senior citizen	persecutor	period of time	persuader	thespian	persecutors	persuasion
classification	classified item	class	technical specification	category	coding	written language	function	description	thesaurus	classified matter	lexicology	categorical	descriptor	social science	social class	linguistics	work of art	word class	thespian
novel	thespian	book	work of art	fictitious character	musical work	film	theologian	picture	tv program	television show	fictional character	musical composition	fictitious book	fictional person	fictitious place	fictitious person	musical theater	musical instrument	fictitious being
school	instructing	educational institution	educating institution	public school	academies	for the benefit of students	for educating children	course of study	unit of instruction	group of people	system of education	instructive institution	instructive system	scholarly method	course of education	teaching method	system of instruction	course of instruction	instructive class
carbon dioxide	gas	dioxin	chemical group	halogen	particulate matter	abstinent	diatom	dioxide	chemical gas	organic compound	sulphur dioxide	bicarbonate of magenta	bicarbonate of magensium	bicarbonate of magma	bicarbonate of magestic element	perma-nitrate	bicarbonate of soda	bicarbonate of co2	molecular entity
building material	construction material	material	construction materials	materials	emulsion	fabric	polymer	household appliance	houseware	housewares	adobe structure	adobe wall paper	ephemeral structure	non-structural analysis	aqueous medium	non-biological process	mortar	non-structural homology	non-structural matter
people	civil war	native americans	muslims	people of india	indigenous people	tribe	race	human race	ethno-botanical species	non-indigenous	people of color	people group	indigenous peoples	known as the'middle class'	known as the'middle-range tribe'	known as the'middle easters'	known as the'middle-easter'	known as the'middle easterners'	known as the'middle-ranger'
city	town	local government area	local government district	built environment	township	county courthouse	square metre	community park	thematic unit	town square	town town	plaza	square mile	commercial centre	parkland	square meter	square kilometre	the town	shopping mall
musical work	videotape	tv series	tv program	tv show	fictitious character	television series	picture	work of art	television program	television show	film	musical composition	book of lyrics	music group	video game	person	moving picture	musical organization	videogame genre
company	business organization	commercially viable company	enterprise	commercially viable firm	work of art	business enterprise	firm	business concern	edifice	commercially viable product	venture	corporation	partnership	concern	transportation company	railroad line	business venture	establishment	adverb
