doing wrongdoing	wrongful conduct wrongdoing	adjustment slander	doing malice wrong	doing malice 	doing malice mal	doing malice malicious	doing malice evil	ness malice wrongful conduct	adjustment bad faith	adjustment wrongness	doing malice bad	adjustment maltreatment	doing wrongful act	ill will malice maliciousness	ness maladjustment	adjustment wrong doing	ness malice wrongful act	adjustment bad intention	ness malice ill will
giver person judge jur	giver person jurist	 chief of state person chief	giver judge jurist	giver scholar jurist	giver chief jurist	giver person judge judge	giver person</s><pad><pad><pad>	 chief of state person governor	 chief of state chief of staff	giver person judge person	giver scholar person judge	giver person judge chief	giver politician chief justice	leader governor person chief	giver person jurist</s>	giver political leader chief of	giver scholar person jur	leader senator person chief	service military branch military man
sex relationship sexual relationship sexual	sex act sexual relations sexual	sex act sexual activity sexual	sex act sexual act sexual	k person wrestler wrestle	acrobat aristocra	sex relationship sexual relations sexual	sex act sexual practice sexual	k person jocksperson	k person jocksman	izer sexual partner sexual partner	aristocrat benefactor	sex relationship sexual relation sexual	 lover sexual partner sexual partner	sex act sexual relationship sexual	sex relationship romantic sexual act	k person wrestler joc	sex sexual relation sexual contact	sex act sexual activity 	sex relationship romantic sexual relations
 work of art religious text	 work of art literary work	 work of art moving picture	 epic poem work of art	 work of art work of literature	 work of art ps	 biblical text work of art	 work of art religious book	 work of art story work	 work of literature religious text	 work of art work of art	 work of art religious writing	ical publication work of literature biblical	 work of art omission	 work of art oly	 religious text religious text religious	 work of art epic work	 epoch religious text	 work of art epic biblical	 work of art narrative religious
 drug of abuse drug of abuse	 drug of abuse pharmaceutical drug	 drug of abuse prescription drug	 drug of abuse drug class	 drug</s><pad><pad><pad><pad><pad>	 pharmaceutical drug drug</s><pad><pad>	 drug of abuse drug</s><pad>	 drug of abuse medicinal drug	 pharmaceutical drug medicine medicine	 drug</s><pad><pad><pad><pad><pad>	 medicine antihistamin	 pharmaceutical drug pharmacological	 drug drug class medicinal drug	 drug medicinal drug drug class	 drug of abuse medicine drug	 drug pharmaceutical drug drug class	 drug of abuse medication drug	 drug of abuse pharmaceutical drug</s>	 pharmaceutical drug medicine drug</s>	 medicine antihistanian
director person chief boss	exegete person persona	 managerial decision decision-making	exegete person person	lexical category lexical system	director person boss person	lexical category linguistics	exegete administrator person	director person boss chief	 supervisor person executive director	lexical category lexical term	communication written document written communication	lexical category lexical unit	lexical category lexical mixture	lexical category lexical blend	lexical category lexical category	of art work of art 	lexical category lexical mix	director person chief chief	 supervisor person executive director</s>
site piece of land site	 township piece of land	site piece of land piece of	</s><pad><pad><pad><pad><pad><pad><pad>	 township township town	 township city</s><pad><pad>	 township city piece of	 township township city	site piece of land tract	 township city township	 company partnership venture concern	site piece of land country	site piece of land parcel of	 enterprise corporation venture company	 enterprise business organisation enterprise</s>	 enterprise business organisation business organisation	 township city town	 township city city district	 township township</s><pad>	 corporation company venture business
 market price retail price retail	 market price price retail	 market price cost cost	 market price price retail price	 market price market price price	 market price retail price price	 market price price market price	 market price exchange rate price	 market price price price	 retail price retail price price	 market price market price retail	 market price market price market	 market price cost price	 market price market price exchange	 market price retail price market	 market price market rate price	 market price price price index	 market price price monetary	 market price value price	 market price price</s><pad><pad>
 state natural variation state	 state state of matter state	 state physiological state state	 biological state state equilibrium	 state physiology state	state physiological process physiological response	state state of equilibrium state of	 state state of equilibrium</s><pad>	 state natural variation equilibrium	 state of equilibrium physiological state	 physiological state equilibrium natural state	state physiological process biological state	 state state of balance state	 state natural variation state</s>	state state of equilibrium state	 state state of equilibrium state	state physiological process natural state	 biological state state state	 physiological state equilibrium</s><pad><pad>	 state of equilibrium physiological process
</s><pad><pad><pad><pad><pad><pad><pad>	 sportsperson olym	 sportsperson sportswoman sports	 sportsperson sportsperson</s><pad>	 sportsperson writer sportsperson	 writer</s><pad><pad><pad><pad><pad>	 sportsperson athlete sportsperson	 writer teacher teacher teacher	 writer scholar academician	 sportsperson athlete competitor	 sportsperson writer broadcaster	 sportsperson writer broadcast journalist	 journalist journalist</s><pad><pad><pad>	 writer academician professor	 sportsperson</s><pad><pad><pad><pad>	 sportsperson sportswoman competitor	 sportsperson competitor sportsperson	 sportsperson sportswoman joc	 sportsperson athlete sport	 sportsperson athlete person</s>
organism</s><pad><pad><pad><pad>	organism pathogen micro	organism bacterium	-organism micro-organ	organism pathogen path	organism bacteria bacter	organism microorganism	organism pathogen bacteria	organism pathogenic micro organism	organism bacteria pathogen	organism organism</s><pad><pad>	organism organism micro organism	organism organism micro-	organism pathogen</s><pad>	organism micro-organis	organism organism pathogen	ogenic bacteria microorganism	organism organism bacter	organism bacteria micro-	organism bacteria organism
part limb body part	part bodily structure body part	part body part body part	part bodily structure bodily	part body part body part</s>	part bodily structure limb	part limbs body part	part body part limb	part limbs body structure	part body part bodily structure	part body part bodily organ	part body part</s><pad><pad><pad>	part human body part human body	part limb body structure	part human body part body part	part physical property body part	part human body part bodily	ly structure body part body part	ly structure body part bodily	part bodily structure part of
 disease sickness illness illness	ailment disease illness	 disease diseased person illness	 disease illness disease sickness	 disease illness sickness</s><pad>	 respiratory disease disease sickness	ailment disease sickness	 disease sickness disease process	ailment sickness disease	 disease diseased person sickness	 disease illness health problem	 disease sickness illness disease	 sickness sickness illness</s><pad>	 disease illness illness disease	 disease illness illness sickness	 sickness illness sickness</s><pad>	 health condition disease illness	 illness disease illness sickness	 medical condition disease sickness</s>	 sickness sickness illness health
way right-of-way	 built environment right of way	infrastructure right of way way	 public way right of way	 main road right of way	 infrastructure transport infrastructure way	infrastructure right of way right of	infrastructure right of way infrastructure	 public way way route	infrastructure right of way means of	system means of transport means of	system means of transportation route	system means of transport way	infrastructure right of way path	system means of transportation means of	system means of transportation public highway	 main road constructed structure way	 infrastructure right of way constructed	 infrastructure right of way built	 infrastructure right of way route
fictitious character fictional character	work work of art work of	 fictitious character 	character person fictitious	work work of art picture	language language written communication written	group musical group musical organization	 story tv show	fictitious character imaginary being	fictitious character fictiti	fictitious character cartoon character	fictitious character person fictional	 fictitious character person	fictitious character person person	 fictitious character fictional	 fictitious character film	 story tv series	language language written communication communication	 fictitious character story	group musical group musical group
 oxen bow	ery weapon bow bow weapon	 archery bow and arrow	 weapon bow bow bow	 weaponry bow bowman	er weapon bow weapon system	 archery archery bow	 weapon bow weapon type	 bow bow weapon system	 weapon bow weapon system	 arm weapon system bow	 archery bow bowman	ery weapon weapon system bow	 archery bow weapon</s>	 oxen archer	 weapon bow bow arch	 bow arrow weapon system	 oxen arrow	 bow bowman hand weapon	 arm weapon system bows
</s><pad><pad><pad><pad><pad><pad><pad>	 person leader leader</s><pad>	jurisconsult person jurist	jurisconsult jurist person	 person leader chief of state	jurisconsult person legal expert	 person leader chief leader	speaker speaker public speaker speaker	 person leader leader of state	 person leader boss person	 political leader leader</s><pad><pad>	 person chief chief of state	 politician chief politician leader	leader person political leader leader	 person leader gov	leader person chief leader</s>	 person leader political leader	speaker person speaker speaker</s>	 person chief leader leader	 politician leader</s><pad><pad><pad>
specification technical specification technical specification	specification technical specification specification specification	specification technical specification specification specifications	specification technical specification specification technical	specification technical specification</s><pad><pad><pad>	specification technical specification standard technical	specification technical specification specification</s><pad>	specification technical specification specifications specification	specification technical specification specification 	specification computer code technical specification	phenomenon physical phenomenon physical system	specification technical specification technical specification</s>	specification technical specification specifications technical	specification technical specification mathematical function	property physical phenomenon physical phenomenon	specification technical specification standard specification	specification technical specification specification measure	specification technical specification normative	specification technical specification computer code	specification technical specification specification calculation
 animal husbandry animal husbandry	henhouse animal henhouse	of art animal animal husbandry	horsie henhouse	 animal farm animal farmyard	horsie hen house	henhouse chicken coop 	henhouse poultry farm farm	hen house henhouse 	of art animal farm animal	rooster ro	mmal animal</s><pad><pad><pad>	hen house animal animal shelter	 farm animal farm animal</s><pad>	farm hen house hen	of art animal animal farm	hen house animal animal</s><pad>	hen house henhouse housing	hen house animal farm 	henhouse chicken coop chicken
assembly internal combustion engine mechanical assembly	 piece of work mechanical assembly	assembly device mechanical assembly mechanical	assembly device mechanical assembly device	assembly mechanism mechanism mechanical assembly	assembly mechanism</s><pad><pad><pad><pad>	assembly system mechanical assembly mechanism	assembly device mechanical assembly</s><pad>	 mechanical assembly mechanical assembly mechanical	of art mechanical assembly device	of art mechanical assembly machine	assembly mechanism machine mechanical assembly	assembly mechanism system of parts	 mechanical assembly mechanical assembly apparatus	assembly device mechanical assembly mechanism	of art mechanical assembly mechanical system	 device mechanical assembly mechanism	of art mechanical assembly mechanism	 mechanical assembly mechanical assembly technical	assembly device mechanical assembly machine
game video game video game	game video game computer game	game game console video game	game computer program video game	game video game pc	game videogaming video game	 video game video game video	game computer game video game	game videogame computer game	game videogame genre video game	game game console computer software	game video game game video	game game console game console	game videogame genre game	game videogaming game console	game software computer software video	game videogame genre game console	game video game show video	 video game video game motion	game video game software video
ship passenger transport passenger transport	transport passenger transport passenger transport	transport mode of transport passenger transport	ship passenger transport travel passenger	transport travel public transport passenger	transport travel ship passenger transport	transport travelling passenger transport air	transport mode of transportation passenger transport	ship passenger transport transport passenger	transport passenger transport transport passenger	transport ferries public transport	transport passenger transport ship passenger	transport travelling passenger transport passenger	transport ferries passenger transport	transport travel passenger transport passenger	transport mode of transport ferry	ship ship passenger transport passenger	transport travel public transport 	transport mode of transport ship	transport travelling passenger transport aircraft
product food product food product	product food product food product</s>	product food product food preparation	 food product food product</s><pad>	product carbohydrate food product	product food preparation food product	product carbohydrate food item	product food product nourishment	product food item food product	tuff food product food group	product food preparation food item	product food item food preparation	 food product food product food	 food preparation food item food	product food product carbohydrate	preparation food product food product	product food product food item	product meal food product food	 food product food preparation food	 food preparation food product food
 polystyrene	 foam polystyren	styrene polys	styrene polyethylene	material polystyrene	 foam polymer plastic	styrene plastic	ing cushioning cushioning	styrene foam	styrene polyo	ing cushion cushioning cushion	 material packaging packing material	styrene plastic material	styrene e	ing cushioning cushion cushion	 foam polyethylene plastic	 material packaging material packaging	styrene polymer	 foam polymer material plastic	 foam polymer polymer
 aircraft plane aircraft class	 aeroplane transport aircraft	 aircraft flight plane military	 aeroplane military aircraft	 aircraft military aircraft military aircraft	 aeroplane aircraft class	 plane aircraft class plane	 aircraft flight aircraft type	 aircraft aircraft class military aircraft	 aircraft flying machine plane	 aircraft military aircraft transport	 aircraft type of flight aircraft	 aircraft flying machine aircraft	 aircraft flight flight aircraft	 aeroplane aircraft aircraft	 aircraft type of flight plane	 aircraft type of flight flight	 plane aircraft class aircraft type	 aeroplane aircraft plane	 aircraft flight plane flying
 regularity natural phenomenon natural	print written matter written communication	 picture figure picture show	print written matter written document	 image picture show figure	 image picture show image	print written work written communication	function natural action natural phenomenon	 image picture show picture show	 moving picture picture picture	 natural phenomenon natural phenomenon natural	print written work written document	print written work written language	function natural process natural phenomenon	 image picture show picture	 natural phenomenon natural phenomenon characteristic	function natural process natural process	print written matter printed matter	 figure picture figure picture	 natural phenomenon natural phenomenon phenomenon
 beverage spirit drinkable	 intoxicant alcoholic beverage	alcoholic drink beverage alcoholic drink	alcoholic drink beverage liquid state	 spirituous drink alcoholic beverage	alcoholic drink beverage liquor beverage	 spirituous drink drinkable	alcoholic drink beverage alcoholic	 alcoholic beverage alcoholic beverage	 beverage alcoholic beverage spirit	alcoholic drink beverage liquor spirit	 beverage alcoholic beverage liquor	alcoholic drink beverage beverage beverage	alcoholic drink liquid state beverage	 spirituous drink alcoholic drink	 spirituous drink liquor beverage	alcoholic drink beverage beverage of course	alcoholic drink beverage beverage 	 beverage spirit beverage spirit	alcoholic drink beverage drank
 work of art relief relief	 work of art representation relief	equilibria relief	 work of art depiction	 work of art representational process	 work of art relief surface	equilibria form	of art work of art relief	 work of art relief drawing	phenomenon surface natural phenomenon surface	edifice structure surface	 work of art illustration picture	 work of art relief picture	 work of art form relief	 work of art relief 	equilibria 	 work of art representation surface	 work of art relief work	equilibria elevation	equilibria work
 moving picture work of art	picture motion picture picture show	 motion picture moving-picture	 motion picture work of art	 motion picture motion picture moving	group musical group musical group	picture motion picture moving picture	 work of art moving picture	group musical group musical organization	 motion picture motion picture motion	picture motion picture picture musical	 motion picture motion picture show	 motion picture motion picture musical	picture motion picture picture motion	 motion picture picture motion picture	character fictive person fictional	character person story story	 motion picture motion picture motion	 motion picture motion picture show	 motion picture moving picture show
economy economics economics	economy economics economic theory	economy economics political economy	economy theory economics economic	economy economics economic science	economy economics policy making	economy economics law economic	economy economics public administration	economy political economy economics	economy economics social control	science economics economics	economy economics government economic	economy economics business plan	economy economics policy economic	economy economics public policy	economy law policy economics	economy economics policymaking	economy economics administration economic	science law economics economic	economy economics law political
 writer</s><pad><pad><pad><pad><pad>	 poet poetess</s>	 writer politician politician</s><pad>	 writer explorer explorer	 person chief chief of state	</s><pad><pad><pad><pad><pad><pad><pad>	 writer political leader politician	 writer politician political leader	 politician writer person leader	 writer politician person of interest	 poet poetess	 politician writer political leader	 writer politician political leader</s>	 politician leader political leader</s>	 writer dramatist</s><pad>	 politician holder chief	 person chief chief politician	 person chief leader</s><pad>	 person chief leader person	 writer person</s><pad><pad><pad>
government area land site government	 city provincial capital provincial capital	government district city polity	 polity land site	government area land site administrative unit	</s><pad><pad><pad><pad><pad><pad><pad>	 polity republic of 	 local government city government	government area political system city	 city polity city	 city provincial capital capital	 city polity town	 island city island city	 local government city county	 local government city township	 island city country island	 city polity 	government area land site ter	 local government city municipality</s>	 city polity county
</s><pad><pad><pad><pad><pad><pad><pad>	 writer poetess	 writer poetess</s>	 fictitious character fictional	of art writer person writer	 poetess</s><pad><pad>	of art writer poetes	 writer</s><pad><pad><pad><pad><pad>	 dramatist dramatist	 dramatist dramaturg	 writer writer</s><pad><pad><pad>	spian singer writer person	 playwright</s><pad><pad><pad>	of art writer artist writer	of art writer artist person	 fictitious character person	 fictitious character 	of art person writer poet	of art writer person 	 poetess poete
jurisprudence rule	 rule of law rule of law	rule of thumb rule of law	jurisprudence 	jurisprudence legal	jurisprudence law	rule rule of law legal system	jurisprudence rules	 law of nature natural law	 rule of law rule rule	 rule of law judicial rule	rule rule of law law of	 rule of law natural law	 rule of law legal principle	of thumb rule of law rule	</s><pad><pad><pad><pad><pad><pad><pad>	 rule of law rule 	normative principle rule of law	rules rule of law rule of	normative principle rule of thumb
 judge</s><pad><pad><pad><pad><pad>	 judge jurist</s><pad><pad>	person jurist jurist</s>	 jurist</s><pad><pad><pad><pad>	 judge adjudicator	 judge adjudicator</s>	 jurist legal person judge	 jurist person judge</s>	official jurist person judge	 jurist legal professional person	 jurist jurist</s><pad>	 judge jurist jurist	 judge jurisconsulte	 jurist legal person jur	 legal expert jurist person	official judge jurist judge	 judge jurisconsult</s>	 judge jurist judge</s>	 jurist legal expert</s><pad>	official jurist jurist
system regime political system regime	 regime political system regime	system regime political system political	 regime political system rule of	 regime political system governing	 political system political system regime	system state regime political system	 regime political system state	 regime state political system	 state political organization regime	 regime political regime system	system regime political system state	 political system regime regime	itarian regime political system regime	 regime political regime regime	 regime political system political system	 regime political system rule	system regime political system dictator	system regime political system</s><pad>	 regime political system regime</s>
 jurisprudence	 jurisprudence</s>	 judicial practice judicial system	 lawful process legal system	 regulation enactment	 regulation jurisprud	 lawful process juris	 jurisprudy	 natural law jurispru	 parliamentary procedure rule of law	 natural law law of the land	 rule of law</s><pad><pad><pad>	 judicial practice practice of law	 rule of law legal system	 lawful process legal theory	 lawful process law-of	 rule of law legal system</s>	 lawful process legal process	 lawful process legal process</s>	 judicial practice judicial function
 physiological response bodily process	 physiological response bodily action	 physical phenomenon bodily response	 bodily response bodily reaction	 physical phenomenon bodily action	 reaction response action action	 reaction physical phenomenon response	 reaction response action response	 natural phenomenon bodily response	 reaction physical phenomenon action	 reaction physical phenomenon natural phenomenon	 reaction response action reaction	 natural phenomenon bodily process	 bodily response bodily response	 bodily response bodily process	 reaction response action 	 reaction physical phenomenon natural action	 natural action response action	 reaction response action reflex	 reaction physical phenomenon physical process
hindi language dialect h	hindi hindi language	hindi language hindi	hindi language dialect native	lexical class lexical class	hindi asian person	hindi asian 	hindi hindi 	slang word linguistics	hindi hindi speaker	hindi syllog	hindi dialect hindi	hindi hindi language</s>	hindi slovak language	hindi language dialect spoken language	hindi word of mouth 	hindi language dialect natives	hindi word of mouth person	hindi native language language	hindi dialectical person dialect
leader political leader person leader	leader political leader political scientist	leader political leader person political	leader political leader politician person	leader political leader person politician	 sportsperson sportsperson</s><pad>	leader political leader political leader	fictitious character person fictional	fictitious person fictiti	leader political leader political leader</s>	fictitious character person person	leader political leader politician leader	 governor person governors	leader person political leader leader	leader political leader politician political	leader political leader politician 	leader political leader person chief	fictitious character person 	leader governor politician person	leader political leader politician chief
pterodactyl	pterodactylus	 olympic sport	olympic sport race	aristocrat god person	 work of art figure of speech	olympic sports sporting event	olympiad 	aristocrat person 	aristocrat emperor	olympic sports sport	olympic sports sportsperson	 olympic sports	ological creature mythological creature myth	olympian person 	olympiad person	 pharaoh god	olympic sports team team	olympic sports sports	 pharaoh 
-making arbitrage decision	making jurisprudence	jurisprudence legal opinion	age decision decision-making	jurisprudence juri	jurisprudence law	al decision decision decision-making	age decision-making decision making	 decision decision-making decision	 decision decision-making process</s>	-making decision decision-making	jurisprudence law of	age decision-making decision-	making decision-making</s><pad><pad>	age judicial decision decision	jurisprudence decision	-making rule of law decision	 decision decision-making process	-making judicial process decision	-making arbitrage decision making
of arms armour armour	of arms armour clothing	an armour military uniform	of arms armour military uniform	of arms armour uniform	of arms armour dress	of arms armour armor	of arms armour cloth	of arms armband uniform	of arms clothing military uniform	of arms armour armspit	of arms armour garment	of arms military dress armour	of arms armour arm band	of arms uniform uniform 	an military uniform dress uniform	of arms armour armband	of arms uniform uniform clothing	of arms military dress armband	of arms armour clothing</s>
 politician leader</s><pad><pad><pad>	 person</s><pad><pad><pad><pad><pad>	 politician chief chief executive	</s><pad><pad><pad><pad><pad><pad><pad>	 politician boss political leader	 political leader leader</s><pad><pad>	 politician leader chief of state	sculptor person person</s><pad>	 person leader chief leader	 writer</s><pad><pad><pad><pad><pad>	 politician political leader leader</s>	 politician leader political leader</s>	 politician leader politician</s><pad>	 political leader political leader</s><pad>	 politician leader leader</s><pad>	 politician chief chief of state	 politician chief leader</s><pad>	sculptor person</s><pad><pad><pad>	 political leader politician leader</s>	 person leader chief political
 homicide murder 	 homicide homicide	doing wrongdoing	 homicide criminal offense	 killing wrongdoing	 wrongdoing wrongd	 wrongdoing killing	 wrongdoing criminal offense	 homicide unlawful killing	doing wrongful conduct	 homicide crime murder	 wrongdoing criminal offense	 homicide murder wrong	 homicide suicide murder	demeanor crime murder	 homicide murder mis	 wrongdoing criminal off	 homicide murder killing	 homicide murder death	 homicide crime killing
ox animal ox	event social occasion social occasion	event social function social function	event social occasion celebration social	ox horse ox	event social function social occasion	 horse horseback rider	name pet name family name	name pet name pet name	ox ox 	ox oxen	 mountain range mountain elevation	assembly piece of land piece of	ox ox horse	name pet name pet dog	ox animal animal breed	event social occasion social event	event social occasion party social	ox ox animal	ox animal horse animal
doctor doctor specialist medical doctor	doctor physician physic	doctor physician physician's assistant	</s><pad><pad><pad><pad><pad><pad><pad>	doctor physician medical specialist physician	care provider specialist medical doctor	doctor doctor medical specialist physician	doctor physician medical specialist medical	doctor physician physician specialist	doctor physician physician health care	doctor physician medical doctor medical	doctor physician doctor health care	doctor physician medical practitioner medical	doctor physician medical specialist doctor	doctor physician physician medical expert	doctor physician doctor health professional	doctor physician medical doctor health	doctor physician medical professional medical	 medical doctor physician medical doctor	 medical doctor doctor medical doctor
-native speaker non-n	 olympic sports	 olympic sport	-western country non-western country	 country polity state	 polity polity	occupied country occupied territory 	 foreign country state state	occupied country occupied territory republic	 country polity 	 country polity 	 country polity state	asian country state a	-native speaker person non	occupied country occupied territory country	government state republic country	-native speaker non-dom	-western country non-western	occupied country occupied territory state	 country polity country
aeological site body structure	aeological site burial site	sarcophagus body part	eological dignitary site	aeological site body part	aeological site burial ground	structure edifice	aeology body part 	eological specimen body structure 	edifice chamber hollow	aeological site grave burial	structure edifice</s>	part body structure body part	aeological site crypt	structure stomach body part body	aeology body part</s><pad>	aeological site chamber 	structure stomach body part stomach	aeological site grave grave	part structure body part</s><pad>
</s><pad><pad><pad><pad><pad><pad><pad>	 buyer person collector</s><pad>	 group event group event group	 business organization business organization business	 trader trader trade	 buyer person entrepreneur	 trader trader</s><pad>	 business organization business organisation business	 investor holder holder	 buyer person collectors</s>	 investor holder investor	 group event group event gathering	 person entrepreneur businessman	 person entrepreneur business person	 company business enterprise business organization	 investor holder owner	 business organization business organization person	 collector</s><pad><pad><pad><pad><pad>	 collector collectors group group	 group event group event social
chip microchip electronic circuit	 electronic circuit microcontroller	controller electronic equipment circuit	circuit microprocessor electronic circuit	chip electronic circuit circuitry	controller electronic component microprocess	controller electronic component microchip	chip circuit chip electronic circuit	processor computer chip electronic circuit	chip computer chip microchip	chip circuit chip microchip	circuit microprocessor chip	controller electronic component electronic circuit	circuit electronic circuit electronic equipment	circuit electronic circuit circuit board	controller microchip electronic circuit	controller electronic circuit circuit	controller electronic circuit circuitry	controller electronic equipment electronic component	controller</s><pad><pad><pad><pad><pad>
 celebration celebration</s><pad><pad><pad>	 celebration occasion celebration of life	 celebration observance celebration	event celebration celebration social event	 observance celebrations	 celebration public event celebration</s>	 celebration of life celebration</s><pad>	 celebration public event celebration	 celebration event celebration celebration	event celebration social occasion celebration	event celebration social occasion social	 celebration event celebration</s><pad>	 celebration of a occasion celebration	 social occasion celebration social event	event celebration celebration social occasion	 social occasion social occasion celebration	 celebration</s><pad><pad><pad><pad><pad>	 celebrations celebrations celebration	 celebration of a event celebration	 social occasion celebration celebrations
activity transaction transaction purchase	 transaction retail outlet sale	 transaction sale business process	 transaction sale business transaction	 transaction sale transaction</s><pad>	 transaction sale public place	 transaction purchase purchase transaction	 transaction sale sale of goods	 shopping shopping mall mall	 transaction retail outlet shopping	monetary value purchase value purchase	 transaction selling sale transaction	monetary value purchase value value	 transaction sale transaction sale	 transaction purchase purchase purchase	monetary value purchase value purchasing	 transaction saleable good transaction	 transaction retail outlet retail store	 purchase shopping purchase-related	 transaction sales transaction transaction
lecular class phylogen	phyletic acid organic compound	phyletic acid chemical group	lecular entity phylogen	crystalline structure molecular entity	lecular entity eukary	lecular class</s><pad><pad><pad><pad>	phyletic species biological group	lecular class atom 	phyletic species phylog	phylogenetic group</s><pad><pad>	lecular class element	phyletic species phyle	phyletic acid molecule	phyletic species atom	phyletic species molecule	lecular class phyletic	phlogiste phy	lecular entity molecule poly	phyletic species animal 
 geographic area piece of land	area piece of land land area	 area of land piece of land	 area of land parcel of land	 area of land tractable	area piece of land natural area	area piece of land parcel of	area</s><pad><pad><pad><pad><pad><pad>	ship tract of land urban area	area piece of land land site	ship tract of land area</s>	ship tract of land area	 area of land tract parcel	 area of land tract tract	ship municipal area area of development	area piece of land area of	ship geographic area geographical area	ship geographical point natural area	area piece of land physical property	ship tract of land geographical point
 moderator moderator	erator moderator</s><pad>	 moderator</s><pad><pad><pad>	adjudicator person	erator moderator person	 moderator moderator	adjudicator moder	 mediator moderator</s><pad>	r person moderator	person moderator moder	r person moderator</s>	 moderator observer	r moderator moder	r person mediator debater	 moderator evalu	 moderator person mod	 moderator speaker mod	 moderator facilitator</s><pad>	 moderator observer</s>	 facilitator facilitatores mod
